Primary DBID	Systematic Name	Standard Name	Name	Feature Type	Function Summary	Description	Gene Summary
S000002777	YDR369C	XRS2	X-Ray Sensitive	ORF		"FHA domain-containing component of the Mre11 complex; MRE11-RAD50-XRS2 complex is involved in double strand breaks, meiotic recombination, telomere maintenance, and checkpoint signaling;  FHA domain is required for activation of Tel1p"	
S000002778	YDR370C	DXO1	Decapping eXOnuclease	ORF	Exonuclease (5'-3') involved in cleavage of 5'-end cap from nuclear mRNA molecules (decapping) that is triggered by shortening of 3'-end poly(A) tails (deadenylation)	"Cytoplasmic 5' exoribonuclease; transcriptomics wide distributive exonuclease; involved in cytoplasmic mRNA degradation, turnover of tRNA introns and processing of spliceosomal introns; required for the final 5'-end processing of 25S rRNA; minor contributor to No-Go Decay and the unfolded protein response; decapping protein involved in surveillance and removal of non-canonical nicotinamide adenine dinucleotide (NAD) capped nuclear mRNAs (NAD-RNAs); sequence similarity to Rai1p "	
S000002779	YDR371W	CTS2	ChiTinaSe	ORF	Protein presumably involved in sporulation; localized to cytoplasm in a high-throughput experiment	Putative chitinase; functionally complements A. gossypii cts2 mutant sporulation defect	
S000002780	YDR372C	VPS74	Vacuolar Protein Sorting	ORF	"Mannosyltransferase- and phosphatidylinositol-4-phosphate binding protein involved in endoplasmic reticulum unfolded protein response, protein localization to Golgi, retrograde vesicle-mediated transport, and regulation of phosphatidylinositol dephosphorylation; localizes to nucleus, Golgi apparatus, and cytosol"	"Golgi PI4K effector, PtdIns4P sensor, and retention receptor; interacts with glycosyltransferases, and in the PtdIns4P-bound state mediates retention of these enzymes in the Golgi; PtdIns4P sensor that limits PI4K signaling and regulates lipid homeostasis, interacting with the catalytic domain of Sac1p, the major PtdIns4P phosphatase, directing dephosphosphorylation of the Golgi pool of PtdIns4P; tetramerization required for function; contributes to telomere function; ortholog of human GOLPH3"	
S000002781	YDR373W	FRQ1	FReQuenin homolog	ORF	Enzyme activator involved in regulation of signal transduction; localizes to Golgi membrane and to cytosol in high-throughput studies	N-myristoylated calcium-binding protein; may have a role in intracellular signaling through its regulation of the phosphatidylinositol 4-kinase Pik1p; member of the recoverin/frequenin branch of the EF-hand superfamily; human NCS1 functionally complements the heat sensitivity of a frq1 ts mutant	
S000002782	YDR374C	PHO92	PHOsphate metabolism	ORF	Messenger RNA (mRNA) 3'-UTR binding protein involved in the regulation of phosphate metabolism and mRNA stability; localizes to cytoplasm	Posttranscriptional regulator of phosphate and glucose metabolism; facilitates PHO4 mRNA degradation by interacting with Pop2p; regulates PHO4 mRNA stability by binding to PHO4's 3'UTR in a phosphate-dependent manner; contains highly conserved YTH (YT521-B Homology) domain that exhibits RNA-binding activity; human homolog YTHDF2 can complement yeast null mutant	
S000002783	YDR375C	BCS1	ubiquinol-cytochrome c reductase (bc1) Synthesis	ORF	Transporter with ATPase activity that acts as chaperone in  the assembly of mitochondrial respiratory chain complex III; localizes in mitochondrial inner membrane	"Protein translocase and chaperone required for Complex III assembly; member of the AAA ATPase family; forms a homo-oligomeric complex in the mitochondrial inner membrane that translocates the C-terminal domain of Rip1p from the matrix across the inner membrane and delivers it to an assembly intermediate of respiratory Complex III; also required for assembly of the Qcr10p subunit; mutation is functionally complemented by human homolog BCS1L, linked to neonatal diseases"	
S000002784	YDR376W	ARH1	Adrenodoxin Reductase Homolog	ORF	Mitochondrial NADPH-adrenodoxin reductase involved in ubiquinone biosynthesis and iron homeostasis	Oxidoreductase of the mitochondrial inner membrane; involved in cytoplasmic and mitochondrial iron homeostasis and required for activity of Fe-S cluster-containing enzymes; one of the few mitochondrial proteins essential for viability	
S000002785	YDR377W	ATP17	ATP synthase	ORF	Subunit of the F0 coupling factor of mitochondrial F1F0 ATP synthase; ATP synthase complex is localized to the mitochondrial inner membrane	"Subunit f of the F0 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis"	
S000002786	YDR378C	LSM6	Like SM	ORF		"Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA, snoRNA, and rRNA"	
S000002787	YDR379W	RGA2	Rho GTPase Activating Protein	ORF	GTPase activator involved in septin ring organization; localizes to bud neck septin rings	"GTPase-activating protein for polarity-establishment protein Cdc42p; implicated in control of septin organization, pheromone response, and haploid invasive growth; regulated by Pho85p and Cdc28p; RGA2 has a paralog, RGA1, that arose from the whole genome duplication"	
S000002788	YDR380W	ARO10	AROmatic amino acid requiring	ORF	"Phenylpyruvate decarboxylase involved in the catabolism of aromatic amino acids, branched-chain amino acids, and methionine via the Ehrlich pathway; localizes to the cytosol in high-throughput studies"	"Phenylpyruvate decarboxylase; catalyzes decarboxylation of phenylpyruvate to phenylacetaldehyde, which is the first specific step in the Ehrlich pathway; involved in protein N-terminal Met and Ala catabolism"	
S000002789	YDR381W	YRA1	Yeast RNA Annealing protein	ORF	"RNA-binding protein and ATP-dependent RNA helicase inhibitor; involved in mRNA export from the nucleus and transcription-coupled nucleotide-excision repair; subunit of the transcription export (TREX) complex, which couples transcription elongation by RNA polymerase II to mRNA export"	"Nuclear polyadenylated RNA-binding protein; required for export of poly(A)+ mRNA from the nucleus; proposed to couple mRNA export with 3' end processing via its interactions with Mex67p and Pcf11p; interacts with DBP2; inhibits the helicase activity of Dbp2; functionally redundant with Yra2p, another REF family member"	
S000002790	YDR382W	RPP2B	Ribosomal Protein P2 Beta	ORF	Protein kinase activating constituent of the cytosolic large ribosomal subunit; involved in translation	"Ribosomal protein P2 beta; a component of the ribosomal stalk, which is involved in the interaction between translational elongation factors and the ribosome; free (non-ribosomal) P2 stimulates the phosphorylation of the eIF2 alpha subunit (Sui2p) by Gcn2p; regulates the accumulation of P1 (Rpp1Ap and Rpp1Bp) in the cytoplasm"	
S000002791	YDR383C	NKP1	Non-essential Kinetochore Protein	ORF	Protein whose biological role is unknown; localizees to the kinetochore	Central kinetochore protein and subunit of the Ctf19 complex; mutants have elevated rates of chromosome loss; orthologous to fission yeast kinetochore protein fta4	
S000002792	YDR384C	ATO3	Ammonia (Ammonium) Transport Outward	ORF	Ammonium transmembrane transporter involved in nitrogen utilization; localizes to plasma membrane	"Plasma membrane protein, putative ammonium transporter; regulation pattern suggests a possible role in export of ammonia from the cell; phosphorylated in mitochondria; member of the TC 9.B.33 YaaH family of putative transporters"	
S000002793	YDR385W	EFT2	Elongation Factor Two	ORF	Ribosome binding GTPase involved in the maintenance of translational fidelity and positive regulation of translational elongation; localizes to cytosol	"Elongation factor 2 (EF-2), also encoded by EFT1; catalyzes ribosomal translocation during protein synthesis; contains diphthamide, the unique posttranslationally modified histidine residue specifically ADP-ribosylated by diphtheria toxin; EFT2 has a paralog, EFT1, that arose from the whole genome duplication"	
S000002794	YDR386W	MUS81	MMS and UV Sensitive	ORF	"Enzyme inhibitor subunit of Holliday junction resolvase complex that contributes to crossover junction endodeoxyribonuclease activity; involved in cellular response to DNA damage stimulus, resolution of meiotic recombination intermediates, DNA topological changes and double-strand break repair via break-induced replication"	"Subunit of structure-specific Mms4p-Mus81p endonuclease; cleaves branched DNA; involved in DNA repair, replication fork stability, and joint molecule formation/resolution during meiotic recombination; promotes template switching during break-induced replication (BIR), causing non-reciprocal translocations (NRTs); helix-hairpin-helix protein; phosphorylation of non-catalytic subunit Mms4p by Cdc28p and Cdcp during mitotic cell cycle activates function of Mms4p-Mus81p"	
S000002795	YDR387C	CIN10	Chromosome INstability	ORF	Membrane protein with transmembrane transporter activity	"Putative transporter; member of the sugar porter family; non-essential gene; overexpression results in elevated colony sectoring, an indicator of chromosomal instability"	
S000002796	YDR388W	RVS167	Reduced Viability on Starvation	ORF	Cytoskeletal protein; forms a complex with Rvs161p and is involved in actin cytoskeleton reorganization and endocytosis; localizes to the actin cortical patch	"Calmodulin-binding actin-associated protein; roles in endocytic membrane tabulation and constriction, and exocytosis; N-BAR domain protein that interacts with Rvs161p to regulate actin cytoskeleton, endocytosis, and viability following starvation or osmotic stress; recruited to bud tips by Gyl1p and Gyp5p during polarized growth; homolog of mammalian amphiphysin; necessary for efficient trafficking of CoQ6 to mitochondria"	
S000002797	YDR389W	SAC7	Suppressor of ACtin	ORF	"GTPase activator involved in signal transduction, actin cytoskeleton organization, and cell wall organization; localizes to cell cortex "	"GTPase activating protein (GAP) for Rho1p; regulator of a Tor2p-mediated, Rho1p GTPase switch that controls organization of the actin cytoskeleton; negative regulator of the RHO1-PKC1-MAPK cell integrity (CWI) and membrane fluidity homeostasis signaling pathways; potential Cdc28p substrate; SAC7 has a paralog, BAG7, that arose from the whole genome duplication"	
S000002798	YDR390C	UBA2	UBiquitin Activating	ORF	"Subunit of a SUMO activating enzyme (E1); contributes to the formation of a high energy thioester bond with ubiquitin-like protein SUMO, the first step in protein sumoylation; localizes to the nucleus"	"Subunit of heterodimeric nuclear SUMO activating enzyme E1 with Aos1p; activates Smt3p (SUMO) before its conjugation to proteins (sumoylation), which may play a role in protein targeting; essential for viability"	
S000002799	YDR391C			ORF	Protein whose biological role is unknown; localizes to the nucleus and cytoplasm in a large-scale study	Putative protein of unknown function; possibly involved in zinc homeostasis; Bdf1p-dependent transcription induced by salt stress; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus	
S000002800	YDR392W	SPT3	SuPpressor of Ty's	ORF	Transcription cofactor subunit of SAGA and SLIK histone acetyltransferase complexes; involved in chromatin modification and regulates transcription by RNA polymerase II related to invasive growth in response to glucose limitation	"Subunit of the SAGA and SAGA-like transcriptional regulatory complexes; interacts with Spt15p to activate transcription of some RNA polymerase II-dependent genes, also functions to inhibit transcription at some promoters; relocalizes to the cytosol in response to hypoxia"	
S000002801	YDR393W	SHE9	Sensitivity to High Expression	ORF	Protein involved in organization of inner mitochondrial membrane	Protein required for normal mitochondrial morphology; localized to mitochondrial inner membrane; may be involved in fission of the inner membrane; forms a homo-oligomeric complex	
S000002802	YDR394W	RPT3	"Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase"	ORF	"Putative ATPase involved in proteasome regulatory particle assembly; role in ubiquitin-dependent protein degradation, positive regulation of RNA polymerase II transcriptional preinitiation complex assembly; subunit of proteasome regulatory particle, base subcomplex"	ATPase of the 19S regulatory particle of the 26S proteasome; one of ATPases of the regulatory particle; involved in the degradation of ubiquitinated substrates; substrate of N-acetyltransferase B	
S000002803	YDR395W	SXM1	Suppressor of mRNA eXport Mutant	ORF	Nuclear import signal receptor involved in protein import into nucleus and mRNA export from nucleus; localizes to nucleus and cytoplasm	"Nuclear transport factor (karyopherin); involved in protein transport between the cytoplasm and nucleoplasm; similar to Nmd5p, Cse1p, Lph2p, and the human cellular apoptosis susceptibility protein, CAS1"	
S000002804	YDR396W			ORF		Dubious open reading frame unlikely to encode a functional protein; extensively overlaps essential NCB2 gene encoding the beta subunit of the NC2 dimeric histone-fold complex	
S000002805	YDR397C	NCB2	Negative Cofactor B	ORF	Transcription corepressor subunit of negative cofactor 2 complex; involved in assembly of RNA polymerase II transcriptional preinitiation complex assembly and the negative regulation of transcription by RNA polymerase II	Subunit of a heterodimeric NC2 transcription regulator complex; complex binds to TBP and can repress transcription by preventing preinitiation complex assembly or stimulate activated transcription; homologous to human NC2beta; complex also includes Bur6p	
S000002806	YDR398W	UTP5	U Three Protein	ORF		Subunit of U3-containing Small Subunit (SSU) processome complex; involved in production of 18S rRNA and assembly of small ribosomal subunit	
S000002807	YDR399W	HPT1	Hypoxanthine guanine PhosphoribosylTransferase	ORF		Dimeric hypoxanthine-guanine phosphoribosyltransferase; catalyzes the transfer of the phosphoribosyl portion of 5-phosphoribosyl-alpha-1-pyrophosphate to a purine base (either guanine or hypoxanthine) to form pyrophosphate and a purine nucleotide (either guanosine monophosphate or inosine monophosphate); mutations in the human homolog HPRT1 can cause Lesch-Nyhan syndrome and Kelley-Seegmiller syndrome	
S000002808	YDR400W	URH1	URidine Hydrolase	ORF		Uridine nucleosidase (uridine-cytidine N-ribohydrolase); cleaves N-glycosidic bonds in nucleosides; involved in the pyrimidine salvage and nicotinamide riboside salvage pathways	
S000002809	YDR401W			ORF		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	
S000002810	YDR402C	DIT2	DITyrosine	ORF	Protein required for ascospore wall assembly	"N-formyltyrosine oxidase; sporulation-specific microsomal enzyme involved in the production of N,N-bisformyl dityrosine required for spore wall maturation, homologous to cytochrome P-450s; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum and vacuole respectively"	
S000002811	YDR403W	DIT1	DITyrosine	ORF	Protein required for production of a soluble LL-dityrosine-containing precursor that is necessary for ascospore wall assembly	Sporulation-specific enzyme required for spore wall maturation; involved in the production of a soluble LL-dityrosine-containing precursor of the spore wall; transcripts accumulate at the time of prospore enclosure	
S000002812	YDR404C	RPB7	RNA Polymerase B	ORF	"Subunit of DNA-directed RNA polymerase II core complex that contributes to transcription initiation from RNA polymerase II promoter; involved in positive regulation of translational initiation and of nuclear-transcribed messenger RNA (mRNA) poly(A) tail shortening; localizes to P-body, nucleus"	"RNA polymerase II subunit B16; forms dissociable heterodimer with Rpb4p; Rpb4/7 dissociates from RNAPII as Ser2 CTD phosphorylation increases; Rpb4/7 regulates cellular lifespan via mRNA decay process; involved in recruitment of 3'-end processing factors to transcribing RNA polymerase II complex, export of mRNA to cytoplasm under stress conditions; also involved in translation initiation"	
S000002813	YDR405W	MRP20	Mitochondrial Ribosomal Protein	ORF	"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"	Mitochondrial ribosomal protein of the large subunit	
S000002814	YDR406W	PDR15	Pleiotropic Drug Resistance	ORF		"Plasma membrane ATP binding cassette (ABC) transporter; multidrug transporter and general stress response factor implicated in cellular detoxification; regulated by Pdr1p, Pdr3p and Pdr8p; promoter contains a PDR responsive element; PDR15 has a paralog, PDR5, that arose from the whole genome duplication"	
S000002815	YDR407C	TRS120	TRapp Subunit	ORF	"Subunit of TRAPPII that contributes to Rab family guanyl-nucleotide exchange factor activity; involved in early endosome to Golgi and intra-Golgi vesicle-mediated transport; localizes to the early endosome, and the trans-Golgi network"	"Component of transport protein particle (TRAPP) complex II; TRAPPII is a multimeric guanine nucleotide-exchange factor for the GTPase Ypt1p, regulating intra-Golgi and endosome-Golgi traffic"	
S000002816	YDR408C	ADE8	ADEnine requiring	ORF	Phosphoribosylformylglycinamidine synthase involved in purine nucleotide and 'de novo' IMP (inosine monophosphate) biosynthetic processes; localized to the cytoplasm	Phosphoribosyl-glycinamide transformylase; catalyzes a step in the 'de novo' purine nucleotide biosynthetic pathway	
S000002817	YDR409W	SIZ1	SAP and mIZ-finger domain	ORF	Septin ring protein with SUMO transferase activity; negative regulator of protein ubiquitination; involved in chromosome segregation	"SUMO E3 ligase; promotes attachment of small ubiquitin-related modifier sumo (Smt3p) to primarily cytoplasmic proteins; regulates Rsp5p ubiquitin ligase activity and is in turn itself regulated by Rsp5p; required for sumoylation of septins and histone H3 variant Cse4p, a prerequisite for STUbL-mediated Ub-dependent degradation; localizes to the septin ring; acts as an adapter between E2, Ubc9p and substrates; tends to compensate for survival of DNA damage in absence of Nfi1p"	
S000002818	YDR410C	STE14	STErile	ORF	"Protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase; involved in C-terminal protein methylation and peptide pheromone maturation; localizes to nuclear inner membrane and endoplasmic reticulum membrane, integral to membrane in high-throughput studies"	"Farnesyl cysteine-carboxyl methyltransferase; mediates the carboxyl methylation step during C-terminal CAAX motif processing of a-factor and RAS proteins in the endoplasmic reticulum, localizes to the ER membrane"	
S000002819	YDR411C	DFM1	Der1-like Family Member	ORF	Protein involved in endoplasmic reticulm unfolded protein response and regulation of retrograde protein transport from ER to cytosol; localizes to endoplasmic reticulum	"Endoplasmic reticulum (ER) localized protein; involved in ER-associated protein degradation (ERAD), ER stress, and homeostasis; interacts with components of ERAD-L and ERAD-C and Cdc48p; derlin-like family member similar to Der1p"	
S000002820	YDR412W	RRP17	Ribosomal RNA Processing	ORF		"5' exoribonuclease required for 5' end processing of pre-60S rRNA; binds late pre-60S ribosomes, accompanying them from nucleolus to nuclear periphery; required for cell viability under standard (aerobic) conditions but not under anaerobic conditions; yeast null mutant is complemented by expression of human homolog NOL12"	
S000002821	YDR413C			ORF		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the essential uncharacterized ORF YDR412W that is implicated in rRNA processing"	
S000002822	YDR414C	ERD1	Endoplasmic reticulum Retention Defective	ORF		"Predicted membrane protein required for lumenal ER protein retention; recycles inorganic phosphate byproduct of glycosylation from ER and Golgi; involved in recycling of early Golgi glycosyltransferases from late to early Golgi compartments; mutants secrete the endogenous ER protein, BiP (Kar2p)"	
S000002823	YDR415C			ORF	Protein whose biological role is unknown; localizes to the vacuole	"Putative aminopeptidase; SWAT-GFP fusion protein localizes to the endoplasmic reticulum and vacuole, while mCherry fusion localizes to the vacuole"	
S000002824	YDR416W	SYF1	SYnthetic lethal with cdcForty	ORF		"Member of the NineTeen Complex (NTC); that contains Prp19p and stabilizes U6 snRNA in catalytic forms of the spliceosome containing U2, U5, and U6 snRNAs; null mutant has splicing defect and arrests in G2/M; relocalizes to the cytosol in response to hypoxia; homologs in human and C. elegans"	
S000002825	YDR417C			ORF		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF RPL12B/YDR418W"	
S000002826	YDR418W	RPL12B	Ribosomal Protein of the Large subunit	ORF	Subunit of the cytosolic large ribosomal subunit; involved in ribosomal large subunit assembly and translation	"Ribosomal 60S subunit protein L12B; rpl12a rpl12b double mutant exhibits slow growth and slow translation; homologous to mammalian ribosomal protein L12 and bacterial L11; RPL12B has a paralog, RPL12A, that arose from the whole genome duplication"	
S000002827	YDR419W	RAD30	RADiation sensitive	ORF	"DNA-directed DNA polymerase involved in error-prone translesion synthesis, mitotic sister chromatid cohesion, chromosome segregation; localizes to nucleus, mitochondrion and replication fork"	DNA polymerase eta; involved in translesion synthesis during post-replication repair; catalyzes the synthesis of DNA opposite cyclobutane pyrimidine dimers and other lesions; involved in formation of post-replicative damage-induced genome-wide cohesion; may also have a role in protection against mitochondrial mutagenesis; may be involved in meiosis; mutations in human pol eta are responsible for XPV	
S000002828	YDR420W	HKR1	Hansenula mrakii Killer toxin Resistant	ORF	"Osmosensor involved in signaling, bud site selection, (1->3)-beta-D-glucan biosynthesis, hyperosmotic response, and cell wall organization; localizes to plasma membrane and sites of polarized growth"	"Mucin family member that functions as an osmosensor in the HOG pathway; large, highly glycosylated protein that functions redundantly with Msb2p in Sho1p-mediated osmostresss induction of the HOG signaling pathway; cytoplasmic domain interacts with Ahk1p a scaffold protein that prevents cross talk with the Kss1p MAPK of the filamentous growth pathway; mutant displays defects in beta-1,3 glucan synthesis and bud site selection"	
S000002829	YDR421W	ARO80	AROmatic amino acid requiring	ORF	Sequence specific DNA-binding transcriptional activator of genes involved in aromatic amino acid catabolism; localized to nucleus	Zinc finger transcriptional activator of the Zn2Cys6 family; activates transcription of aromatic amino acid catabolic genes in the presence of aromatic amino acids	
S000002830	YDR422C	SIP1	SNF1-Interacting Protein	ORF	Alternate subunit of the Snf1 protein kinase complex; involved in signal transduction via protein phosphorylation	One of three alternate beta-subunits of the Snf1p kinase complex; may confer substrate specificity; vacuolar protein containing KIS (Kinase-Interacting Sequence) and ASC (Association with Snf1 kinase Complex) domains involved in protein interactions	
S000002831	YDR423C	CAD1	CADmium resistance	ORF	Sequence-specific DNA-binding transcription factor involved in the cellular responses to stress and to cadmium; localizes to both the cytoplasm and nucleus	"AP-1-like basic leucine zipper (bZIP) transcriptional activator; involved in stress responses, iron metabolism, and pleiotropic drug resistance; controls a set of genes involved in stabilizing proteins; binds consensus sequence TTACTAA; CAD1 has a paralog, YAP1, that arose from the whole genome duplication"	
S000002832	YDR424C	DYN2	DYNein	ORF	"Subunit of cytoplasmic dynein complex; contributes to ATP-dependent microtubule motor activity, plus-end-directed; required for nuclear pore assembly and positioning of mitotic spindle; localizes along cytoplasmic microtubules"	"Cytoplasmic light chain dynein, microtubule motor protein; required for intracellular transport and cell division; involved in mitotic spindle positioning; forms complex with dynein intermediate chain Pac11p that promotes Dyn1p homodimerization, potentiates motor processivity; Dyn2p-Pac11p complex important for interaction of dynein motor complex with dynactin complex; acts as molecular glue to dimerize, stabilize Nup82-Nsp1-Nup159 complex module of cytoplasmic pore filaments"	
S000002833	YDR425W	SNX41	Sorting NeXin	ORF		Sorting nexin; involved in the retrieval of late-Golgi SNAREs from the post-Golgi endosome to the trans-Golgi network; interacts with Snx4p	
S000002834	YDR426C			ORF		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF SNX41"	
S000002835	YDR427W	RPN9	Regulatory Particle Non-ATPase	ORF	"Structural peripheral lid subunit of proteasome regulatory particle involved in ubiquitin-dependent protein degradation; role in proteasome assembly; localizes to proteasome storage granules, nucleus, cytosol"	Non-ATPase regulatory subunit of the 26S proteasome; similar to putative proteasomal subunits in other species; null mutant is temperature sensitive and exhibits cell cycle and proteasome assembly defects; protein abundance increases in response to DNA replication stress; relocalizes to the cytosol in response to hypoxia	
S000002836	YDR428C	BNA7	Biosynthesis of NAD	ORF	Arylformamidase involved in de novo NAD biosynthesis from tryptophan	Formylkynurenine formamidase; involved in the de novo biosynthesis of NAD from tryptophan via kynurenine	
S000002837	YDR429C	TIF35	Translation Initiation Factor	ORF	"Translation initiation factor involved in translational initiation, reinitiation, termination; subunit of multi-eIF and translation initiation factor 3 complexes; localizes to cytoplasmic stress granules"	eIF3g subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; is essential for translation; stimulates resumption of ribosomal scanning during translation reinitiation; eIF3 is also involved in programmed stop codon readthrough	
S000002838	YDR430C	CYM1	CYtosolic Metalloprotease	ORF	Metalloendopeptidase that hydrolyzes internal alpha-peptide bonds in presequence peptides cleaved from proteins imported into mitochondria; localizes in mitochondrial intermembrane space	Lysine-specific metalloprotease of the pitrilysin family; metalloprotease of the intermembrane space; degrades proteins and presequence peptides cleaved from imported proteins; required for normal mitochondrial morphology; mutation in human homolog PITRM1 is implicated in autosomal recessive spinocerebellar ataxias (ARCA)	
S000002839	YDR431W			ORF		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	
S000002840	YDR432W	NPL3	Nuclear Protein Localization	ORF	RNA-binding protein involved in pre-mRNA splicing and mRNA export from the nucleus; regulates RNA pol II transcription elongation and termination; implicated in translation termination and repression of translational initiation; shuttles between the cytoplasm and nucleus	"RNA-binding protein; promotes elongation, regulates termination, and carries poly(A) mRNA from nucleus to cytoplasm; represses translation initiation by binding eIF4G; required for pre-mRNA splicing; interacts with E3 ubiquitin ligase Bre1p, linking histone ubiquitination to mRNA processing; may have role in telomere maintenance; dissociation from mRNAs promoted by Mtr10p; phosphorylated by Sky1p in cytoplasm; protein abundance increases in response to DNA replication stress"	
S000002841	YDR433W			ORF		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	
S000002842	YDR434W	GPI17	GlycosylPhosphatidylInositol anchor biosynthesis	ORF	Protein involved in the attachment of glycosylphosphatidylinositol (GPI) anchors to proteins; subunit of the GPI-anchor transamidase complex; localizes to the endoplasmic reticulum and inner nuclear membrane		
	Transmembrane protein; subunit of the glycosylphosphatidylinositol transamidase complex that adds GPIs to newly synthesized proteins; human PIG-S homolog						
S000002843	YDR435C	PPM1	Protein Phosphatase Methyltransferase	ORF		"Carboxyl methyltransferase; methylates the C terminus of the protein phosphatase 2A catalytic subunit (Pph21p or Pph22p), which is important for complex formation with regulatory subunits; required for methionine to inhibit autophagy and promote growth"	
S000002844	YDR436W	PPZ2	Protein Phosphatase Z	ORF	Putative protein serine/threonine phosphatase; involved in sodium homeostasis; cellular localization not yet determined	"Serine/threonine protein phosphatase Z, isoform of Ppz1p; involved in regulation of potassium transport, which affects osmotic stability, cell cycle progression, and halotolerance"	
S000002845	YDR437W	GPI19	Glycosyl PhosphatidylInositol anchor biosynthesis	ORF	"UDP-glycosyltransferase subunit of glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex; involved in GPI anchor biosynthesis; integral component of endoplasmic reticulum membrane, also localizes to nuclear envelope"	Subunit of GPI-GlcNAc transferase involved in synthesis of GlcNAc-PI; N-acetylglucosaminyl phosphatidylinositol (GlcNAc-PI) is the first intermediate in glycosylphosphatidylinositol (GPI) anchor synthesis; shares similarity with mammalian PIG-P	
S000002846	YDR438W	THI74	THIamine regulon	ORF	Predicted integral membrane protein whose biological role is unknown; localizes to the mitochondrion	"Mitochondrial transporter repressible by thiamine; THI74 has a paralog, YML018C, that arose from the whole genome duplication; shows sequence homology to human gene SLC35F3, a thiamine transporter implicated in hypertension"	
S000002847	YDR439W	LRS4	Loss of RDNA Silencing	ORF	"Nucleolar protein involved in rDNA condensation, protein localization to rDNA, and rDNA silencing; also participates in spindle microtubule attachment to kinetochore involved in homologous chromosome segregation"	Nucleolar protein that forms a complex with Csm1p; and then Mam1p at kinetochores during meiosis I to mediate accurate homolog segregation; required for condensin recruitment to the replication fork barrier site and rDNA repeat segregation	
S000002848	YDR440W	DOT1	Disruptor Of Telomeric silencing	ORF	"Histone methyltransferase, specific to H3-K79; involved in DNA damage checkpoint, recombinational and nucleotide-excision repair and chromatin silencing at telomeres; localized to the nucleus"	"Nucleosomal histone H3-Lys79 methylase; methylation is required for telomeric silencing, meiotic checkpoint control, and DNA damage response; single DOT1 gene produces two Dot1p isoforms from alternative translation start sites as a result of leaky scanning by the ribosome"	
S000002849	YDR441C	APT2	Adenine PhosphoribosylTransferase	ORF	Protein whose biological role is unknown; localizes to the cytoplasm in a large-scale study	"Potential adenine phosphoribosyltransferase; encodes a protein with similarity to adenine phosphoribosyltransferase, but artificially expressed protein exhibits no enzymatic activity; APT2 has a paralog, APT1, that arose from the whole genome duplication"	
S000002850	YDR442W			ORF		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	
S000002851	YDR443C	SSN2	Suppressor of SNf1	ORF		Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; required for stable association of Srb10p-Srb11p kinase; essential for transcriptional regulation	
S000002852	YDR444W			ORF	Protein whose biological role is unknown; localizes to the cytoplasm in a large-scale study	Putative hydrolase acting on ester bonds	
S000002853	YDR445C			ORF		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	
S000002854	YDR446W	ECM11	ExtraCellular Mutant	ORF	"Protein involved in reciprocal meiotic recombination, replication-born DSB repair by SCE and synaptonemal complex organization; localizes to nucleus"	"Meiosis-specific protein; component of the Synaptonemal Complex (SC) along with Gmc2p; required for efficient crossover formation and for the efficient loading of the SC transverse filament protein, Zip1p; is SUMOlytaed in a Gmc2p manner, and SUMOylation is required for its function in meiosis; GFP fusion protein is present in discrete clusters in the nucleus throughout mitosis; may be involved in maintaining chromatin structure"	
S000002855	YDR447C	RPS17B	Ribosomal Protein of the Small subunit	ORF	Subunit of the cytosolic small ribosomal subunit; involved in assembly of the small ribosomal subunit and translation	"Ribosomal protein 51 (rp51) of the small (40s) subunit; homologous to mammalian ribosomal protein S17, no bacterial homolog; RPS17B has a paralog, RPS17A, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress"	
